month,country,code,value,netto,quantity,region,district,direction_eng,measure_eng,load_date
01/2016,BY,2815200000,20252,23000,23000,57000,4,IM,KG KOH,2024-03-01T00:00:00.000+03:00
01/2016,JP,8523519109,13522,3,37,45000,1,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,CN,2915390000,317648,227400,0,40000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,CZ,3211000000,335,26,0,40000,2,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,KZ,2701190000,144417,11412200,0,37000,5,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,IL,3926909709,1300,2,0,15000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,IT,5807101000,262,23,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,PL,9032200000,147478,2814,9742,46000,1,IM,ShT,2024-05-01T00:00:00.000+03:00
01/2016,LV,6202139000,2715,53,45,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,ID,9031908500,8980,16,0,45000,1,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,KR,7415210000,12,0,0,29000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,BY,4011100000,10269,5487,610,71000,5,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,BY,7013990000,61,23,33,66000,1,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,GB,8708809909,88053,5663,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,CN,3926909709,3163,76,0,86000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,AT,8543709000,34,0,1,66000,1,IM,ShT,2024-05-01T00:00:00.000+03:00
01/2016,TR,4819300002,7447,3144,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,CN,3307900008,49013,38000,0,5000,7,IM,1,2024-07-01T00:00:00.000+03:00
01/2016,FR,8301600009,403,11,0,46000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,AT,9403309100,17312,1942,21,45000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,DE,4016995709,5901,172,0,46000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,CN,3907202009,134576,80000,0,46000,1,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,KR,8523495900,321,48,617,46000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,FR,SSSSSSSSSS,1062180,2238,0,45000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,IL,603120000,8459,1261,48295,46000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,CA,6403919600,8476,277,96,46000,1,IM,PAR,2024-06-01T00:00:00.000+03:00
01/2016,FR,6201910000,7393,4,5,45000,1,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,FR,2931909009,105,0,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,IN,8471607000,626,2,1,46000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,CN,8502202000,66600,18582,1133,5000,7,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,TR,8413603100,491,31,1,92000,4,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,UA,8483109500,1166,243,55,54000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,CN,2917200000,25940,10000,0,78000,1,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,PL,4009220009,123,8,0,41000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,AR,206210000,18666,8000,0,46000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,CN,6103420001,433773,36715,181947,60000,3,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,DE,8708809109,1213,94,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,PT,7608208907,30882,1321,0,41000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,PH,8541409000,9341,6,21870,45000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,PL,7308909900,1003457,315945,0,14000,1,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,DE,7013419000,7020,1611,492,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,GB,6214200000,10777,20,122,45000,1,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,KR,8483502000,19668,1683,2130,45000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,IT,6206100000,224147,269,796,46000,1,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,DE,3923309090,46294,8048,0,45000,1,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,US,SSSSSSSSSS,2861,1,0,65000,5,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,CN,8714929000,2027,806,0,5000,7,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,IT,7219230009,37731,16800,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,DE,4015190000,440008,73357,6463937,45000,1,IM,PAR,2024-03-01T00:00:00.000+03:00
01/2016,FR,2710129008,4332,2177,0,45000,1,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,PH,8504403009,120,22,1,64000,7,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,JP,8209002000,250299,333,0,45000,1,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,CN,8708701000,365703,117504,0,36000,4,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,JP,4011940000,194660,25552,12,47000,2,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,CN,3405100000,26945,14598,0,45000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,KR,8538100000,52,2,0,45000,1,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,CH,9025198009,15898,93,735,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,AT,3902100000,28724,11000,0,36000,4,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,MA,6112110000,47,2,2,45000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,FI,3920102500,39770,14058,0,49000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,EE,3919900000,4,0,0,27000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,DE,2918140000,265,15,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,CN,8207801900,1558,15,0,60000,3,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,US,8301700000,993,4,0,46000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,IT,8302420000,81215,29812,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,DK,3919108000,310,1,0,92000,4,IM,1,2024-06-01T00:00:00.000+03:00
01/2016,TH,7326909309,134,2,0,46000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,CN,8422901000,1707,90,0,45000,1,IM,1,2024-07-01T00:00:00.000+03:00
01/2016,CN,SSSSSSSSSS,430604,116119,0,50000,6,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,GB,8523493900,8749,159,1137,45000,1,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,GB,3824905000,5963,864,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,FI,3208901909,12839,3615,0,45000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,CN,7318220009,38606,12763,0,28000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,JP,8414308106,1042,184,77,5000,7,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,GB,8202200000,9512,625,0,27000,2,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,SG,3926909709,756,16,0,36000,4,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,FR,3206498000,4526,260,0,29000,1,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,FI,1104129000,8073,13520,0,46000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,DK,8413606900,241,3,1,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,CH,8479899708,564,1,3,40000,2,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,EE,2517410000,116224,363200,0,40000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,SK,8708409901,2394,144,0,29000,1,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,PL,6903909000,2681,6850,0,27000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,BR,4016995209,9842,809,0,40000,2,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,LV,2106905900,8182,4070,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,VN,6204339000,87,2,6,27000,2,IM,ShT,2024-06-01T00:00:00.000+03:00
01/2016,ES,8421392009,5655,37,3,92000,4,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,FI,7320208508,572,11,0,41000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,US,8481807399,3275,2,0,53000,4,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,GB,8504408200,55015,1149,22,50000,6,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,SK,9405602009,497,24,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,LK,6107910000,45,2,35,46000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,HU,8716800000,258,12,1,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,CN,8539490000,11600,688,8000,65000,5,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,IT,8534009000,224,1,0,27000,2,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,GB,4806300000,59,8,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,SE,8413910008,5303,29,0,77000,7,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,CZ,4011940000,5487,1796,10,45000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,CN,9105910000,3158,1944,7715,5000,7,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,PL,3209100009,2,2,0,58000,2,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,IT,6206909000,9305,13,39,46000,1,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,VN,803901000,15215,20020,0,81000,6,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,RO,8432291000,37913,11140,6,18000,3,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,CH,3905210000,38469,16502,0,18000,3,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,AT,8421230000,175610,5309,12962,45000,1,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,JP,3920629009,45,5,0,40000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,CN,3920108900,3217,3524,0,46000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,DE,3208101000,10075,680,0,78000,1,IM,1,2024-06-01T00:00:00.000+03:00
01/2016,IN,8512309009,56,1,0,44000,7,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,AT,4911101009,8458,4624,0,46000,1,IM,1,2024-08-01T00:00:00.000+03:00
01/2016,CN,6403999600,128150,31283,26148,8000,7,IM,PAR,2024-01-01T00:00:00.000+03:00
01/2016,DE,7608100009,5515,12,0,92000,4,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,CN,4202929100,423,59,415,10000,7,IM,ShT,2024-08-01T00:00:00.000+03:00
01/2016,BR,3002300000,179183,1307,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,FR,8207603000,338,2,0,40000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,CN,6001920000,200765,77395,0,24000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,GB,8609009009,3820,3425,1,46000,1,IM,ShT,2024-05-01T00:00:00.000+03:00
01/2016,US,8708509909,213,818,0,58000,2,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,CN,4016920000,50,8,0,27000,2,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,GB,9026202000,2730,15,366,92000,4,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,PL,3923301090,6679,718,0,37000,5,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,FI,4009110000,4582,80,0,40000,2,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,DE,8505909000,1141,11,0,46000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,TR,8511500002,23137,2478,400,36000,4,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,TH,306179200,133595,17585,0,40000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,CZ,7326909309,388,8,0,3000,3,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,IT,6206300000,174982,465,1713,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,JP,8483608000,91,8,6,27000,2,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,CZ,8708949909,45925,494,0,36000,4,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,AR,4010360000,7,0,0,75000,5,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,JP,6804221200,587,4,0,5000,7,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,IN,8537109100,28276,549,0,29000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,SK,8536908500,398,1,0,45000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,DE,5602101900,18483,3520,0,42000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,BE,7326909808,6983,3,0,29000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,DE,3405909000,48947,19440,0,7000,8,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,BG,6202121000,23709,164,196,45000,1,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,IT,8451303000,2886,250,2,46000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,TW,8544429007,50066,5143,0,40000,2,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,ZA,8708109009,11245,391,0,46000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,DE,7306408008,403,16,0,70000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,US,8541600000,26728,4,1644,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,KE,708200000,1166,1110,0,22000,4,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,AE,8544429009,23838,3789,0,27000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,ES,8423815000,2702,246,18,45000,1,IM,ShT,2024-03-01T00:00:00.000+03:00
01/2016,EU,4202310000,12,0,0,65000,5,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,CZ,8205598099,532,23,0,45000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,HR,2103200000,13382,17907,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,NL,3215110000,4102,412,0,27000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,ES,8306290009,6677,166,0,45000,1,IM,1,2024-06-01T00:00:00.000+03:00
01/2016,CN,9030331000,806,5,2,71000,5,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,CN,3905300000,149077,80775,0,45000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,DK,4010390000,23,2,0,40000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,IT,7616910000,56,1,0,78000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,DE,2106909803,497,66,0,40000,2,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,MK,6102301000,394,8,8,45000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,US,8708402001,529559,32220,0,41000,2,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,GB,2102101000,908,0,0,80000,4,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,IT,7306619909,15760,20036,0,27000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,IT,8310000000,12020,7325,0,92000,4,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,FR,8536501101,65088,622,0,29000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,FR,3808929000,37807,2400,0,61000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,RO,8511500008,26550,497,72,36000,4,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,CN,7018101100,4630,4186,0,46000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,KR,2836500000,11316,22000,0,5000,7,IM,1,2024-06-01T00:00:00.000+03:00
01/2016,TW,8467299000,8658,241,72,46000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,UZ,5208121900,44689,20348,171456,24000,1,IM,M2,2024-05-01T00:00:00.000+03:00
01/2016,GB,8421990008,1909,180,0,27000,2,IM,1,2024-06-01T00:00:00.000+03:00
01/2016,UA,7225406000,72572,270415,0,70000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,ES,8207401000,285,1,0,45000,1,IM,1,2024-07-01T00:00:00.000+03:00
01/2016,IT,6206300000,88375,180,561,46000,1,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,KZ,6204499000,343,7,17,45000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,BA,6403999800,209205,5724,9017,45000,1,IM,PAR,2024-01-01T00:00:00.000+03:00
01/2016,CN,9027905000,9000,56,0,65000,5,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,IT,3202900000,9100,5200,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,CN,5402330000,33521,22719,0,36000,4,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,BY,3304910000,835,32,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,BY,9018902000,8700,65,3,66000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,DE,2918199800,14231,2000,0,40000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,CN,6206100000,24036,884,8853,5000,7,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,US,7318156100,366,1,0,25000,6,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,US,3923299000,9536,64,0,45000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,BY,8467219900,76,9,3,45000,1,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,US,2102209000,963,10,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,JP,8708999709,2253,629,0,65000,5,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,IT,4016930001,6426,168,0,45000,1,IM,1,2024-06-01T00:00:00.000+03:00
01/2016,BY,3920431009,4563,11622,0,20000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,BY,8531103000,16018,451,13040,45000,1,IM,ShT,2024-04-01T00:00:00.000+03:00
01/2016,KR,7318151000,212,3,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,IT,8480710000,59936,306,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,BY,1602491300,409,162,0,70000,1,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,BY,3209100009,3489,1760,0,92000,4,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,IT,6112411000,23,0,1,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,FI,7225990000,20167,21245,0,45000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,PL,8708309109,316418,73558,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,IT,7318156100,137,22,0,46000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,CN,8505110000,106857,17971,0,45000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,HU,8481409009,5903,77,0,45000,1,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,US,2309909900,20371,2000,0,40000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,VN,9004109900,171,3,57,45000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,BY,406102003,12561,6805,0,27000,2,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,IT,8508190009,175384,11920,655,46000,1,IM,ShT,2024-06-01T00:00:00.000+03:00
01/2016,GB,8538909100,2315,5,0,17000,1,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,AR,8708299009,4860,313,0,29000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,TW,7412200000,119,12,0,5000,7,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,IT,7307231000,48614,947,0,27000,2,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,BY,8431420000,3820,2450,0,20000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,EE,7312108901,9872,1670,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,TR,3907911000,14171,5780,0,22000,4,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,KR,7318155900,12,10,0,45000,1,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,DE,8536508000,7920,62,0,65000,5,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,BY,6215100000,11,0,1,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,LV,2009509008,6188,12453,0,27000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,CN,6402919000,374029,114288,134345,40000,2,IM,PAR,2024-02-01T00:00:00.000+03:00
01/2016,PL,2201109000,446,3026,2916,27000,2,IM,L,2024-02-01T00:00:00.000+03:00
01/2016,BY,8537209100,39791,64500,0,47000,2,IM,1,2024-02-01T00:00:00.000+03:00
01/2016,BY,8708959909,63,15,0,75000,5,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,IT,5209390000,6141,391,1007,45000,1,IM,M2,2024-02-01T00:00:00.000+03:00
01/2016,US,7019903000,4622,68,0,64000,7,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,NL,8516808000,44324,650,1,64000,7,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,IT,6103320000,8307,163,338,45000,1,IM,ShT,2024-02-01T00:00:00.000+03:00
01/2016,LV,8537209100,195835,9980,0,45000,1,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,CN,6911100000,11869,2927,0,27000,2,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,EG,4820103000,36,12,0,46000,1,IM,1,2024-06-01T00:00:00.000+03:00
01/2016,JP,3921909000,236,2,0,36000,4,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,FI,2715000000,9358,137300,0,27000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,DE,8481309909,5652,58,0,46000,1,IM,1,2024-04-01T00:00:00.000+03:00
01/2016,MY,8505902009,7,0,0,45000,1,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,TR,810907500,1768632,1878803,0,3000,3,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,KR,3910000008,4709,396,0,46000,1,IM,1,2024-05-01T00:00:00.000+03:00
01/2016,VN,4009410000,1,0,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,TW,8504403002,2150,2,84,45000,1,IM,ShT,2024-01-01T00:00:00.000+03:00
01/2016,PL,6810990000,1433,316,0,27000,2,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,KH,4015900000,4068,143,0,27000,2,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,FR,8481801100,3387,253,0,45000,1,IM,1,2024-03-01T00:00:00.000+03:00
01/2016,IT,7307291008,148,1,0,75000,5,IM,1,2024-01-01T00:00:00.000+03:00
01/2016,BG,8504409000,3326,38,5,40000,2,IM,ShT,2024-05-01T00:00:00.000+03:00
